producto,precio,tienda,direccion,busqueda,fecha_consulta
huevo de chocolate kinder sorpresa para niña 2 pzas 20 g c/u,48.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate sweet by grezon l.o.l. 20 g,24.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate kinder sorpresa para niño 20 g,25.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate kinder sorpresa para niña 20 g,25.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate kinder sorpresa barbie 20 g,25.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate kinder sorpresa natoons 2 pzas 20 g c/u,48.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate kinder sorpresa hot wheels 20 g,25.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate kinder sorpresa justice league  20 g,25.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate sweet by grezon jackie princess 20 g,19.5,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate kinder sorpresa natoons 20 g,25.0,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate bondy fiesta dragon ball z 20 g,23.5,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate sweet by grezon blaze 20 g,19.5,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
huevo de chocolate webo late distroller con leche y una sorpresa 20 g,23.5,Portal Centro,"Av. Lorenzo Boturini  No. 258, Colonia Tránsito, Valle De México, Ciudad De Mexico 06820.",huevo,13:15:53 22/08/23
