id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address
9993,Paradox Santa Fe,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.357303,-99.273539,"Av Sta Fe 546, Lomas de Santa Fe, Contadero, Cuajimalpa de Morelos, 01219 Ciudad de México, CDMX"
137,Samara Santa Fe,Selecto Chedraui,Chedraui,tortilla amarilla,13.5,"a granel, precio por kg",tortilla+de+maíz,19.3676531,-99.2594206,Av Santa Fe 94
137,Samara Santa Fe,Selecto Chedraui,,tortillas blancas de maíz,13.5,"a granel, precio por kg",tortilla+de+maíz,19.3676531,-99.2594206,Av Santa Fe 94
139,Santa Fe,Selecto Chedraui,Chedraui,tortilla amarilla,13.5,"a granel, precio por kg",tortilla+de+maíz,19.3599855,-99.2743629,Av. Prol. Vasco de Quiroga 3800
139,Santa Fe,Selecto Chedraui,,tortillas blancas de maíz,13.5,"a granel, precio por kg",tortilla+de+maíz,19.3599855,-99.2743629,Av. Prol. Vasco de Quiroga 3800
287,Ajusco,Chedraui,Chedraui,tortilla amarilla,13.5,"a granel, precio por kg",tortilla+de+maíz,19.29921024,-99.21244204,Carr. Picacho Ajusco 175
287,Ajusco,Chedraui,,tortillas blancas de maíz,13.5,"a granel, precio por kg",tortilla+de+maíz,19.29921024,-99.21244204,Carr. Picacho Ajusco 175
326,Toreo,Selecto Chedraui,Chedraui,tortilla amarilla,13.5,"a granel, precio por kg",tortilla+de+maíz,19.454542,-99.219313,Blvd. Manuel Avila Camacho 5 (Acceso por la entrada de personal)
326,Toreo,Selecto Chedraui,,tortillas blancas de maíz,13.5,"a granel, precio por kg",tortilla+de+maíz,19.454542,-99.219313,Blvd. Manuel Avila Camacho 5 (Acceso por la entrada de personal)
4472,La Comer Santa Maria la Ribera,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.451128,-99.163648,"Nogal 212, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX"
4472,La Comer Santa Maria la Ribera,La Comer,F/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.451128,-99.163648,"Nogal 212, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX"
4472,La Comer Santa Maria la Ribera,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.451128,-99.163648,"Nogal 212, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX"
9988,Miyana,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.439796,-99.199985,Av. Ejercito Nacional 769
428,Encuentro Fortuna,Selecto Chedraui,Chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.4844512,-99.1332041,Av Fortuna 334
136,Polanco,Selecto Chedraui,Chedraui,tortilla amarilla,13.5,"a granel, precio por kg",tortilla+de+maíz,19.44155,-99.2067277,Av. Miguel de Cervantes Saavedra 397
359,Mundo E,Chedraui,Chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.524544,-99.229786,Boulevard Manuel Ávila Camacho 1007
